Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
02/19/2024,2,,,19,2024,19/2/2024,"1,955.05","1,919.00","1,975.00","1,911.65",2.40M,2.64%
02/16/2024,2,,,16,2024,16/2/2024,"1,904.75","1,910.05","1,930.75","1,891.65",1.70M,0.21%
02/15/2024,2,,,15,2024,15/2/2024,"1,900.75","1,868.00","1,959.70","1,857.15",3.18M,2.62%
02/14/2024,2,,,14,2024,14/2/2024,"1,852.25","1,813.00","1,882.95","1,796.40",2.63M,2.02%
02/13/2024,2,,,13,2024,13/2/2024,"1,815.55","1,853.00","1,861.50","1,734.30",1.77M,-1.47%
02-12-2024,2,12,2024,,,12/2/2024,"1,842.60","1,888.05","1,908.00","1,830.00",2.38M,-2.03%
02-09-2024,2,9,2024,,,9/2/2024,"1,880.70","1,836.90","1,918.00","1,805.55",3.16M,2.89%
02-08-2024,2,8,2024,,,8/2/2024,"1,827.95","1,884.10","1,918.00","1,820.00",1.70M,-2.04%
02-07-2024,2,7,2024,,,7/2/2024,"1,866.00","1,749.50","1,990.00","1,746.00",8.93M,8.38%
02-06-2024,2,6,2024,,,6/2/2024,"1,721.65","1,668.65","1,744.95","1,653.00",1.98M,3.18%
02-05-2024,2,5,2024,,,5/2/2024,"1,668.65","1,684.00","1,698.00","1,651.60",1.07M,-0.33%
02-02-2024,2,2,2024,,,2/2/2024,"1,674.25","1,681.90","1,698.95","1,663.85",946.22K,0.50%
02-01-2024,2,1,2024,,,1/2/2024,"1,665.95","1,689.00","1,706.00","1,655.65",1.74M,-0.21%
01/31/2024,1,,,31,2024,31/1/2024,"1,669.45","1,680.00","1,694.90","1,665.05",802.67K,-0.60%
01/30/2024,1,,,30,2024,30/1/2024,"1,679.45","1,720.00","1,722.00","1,674.00",992.52K,-2.10%
01/29/2024,1,,,29,2024,29/1/2024,"1,715.50","1,684.95","1,750.00","1,673.45",3.44M,3.05%
01/25/2024,1,,,25,2024,25/1/2024,"1,664.80","1,647.00","1,677.00","1,636.05",1.09M,1.43%
01/24/2024,1,,,24,2024,24/1/2024,"1,641.35","1,687.95","1,687.95","1,629.00",9.49M,-2.35%
01/23/2024,1,,,23,2024,23/1/2024,"1,680.90","1,740.00","1,745.00","1,632.00",1.59M,0.38%
01/20/2024,1,,,20,2024,20/1/2024,"1,674.50","1,580.00","1,699.95","1,579.10",1.09M,6.61%
01/19/2024,1,,,19,2024,19/1/2024,"1,570.75","1,610.00","1,619.15","1,562.75",796.19K,-1.10%
01/18/2024,1,,,18,2024,18/1/2024,"1,588.25","1,615.00","1,629.00","1,565.65",994.21K,-1.66%
01/17/2024,1,,,17,2024,17/1/2024,"1,615.00","1,653.00","1,656.95","1,605.10",1.15M,-3.11%
01/16/2024,1,,,16,2024,16/1/2024,"1,666.80","1,693.50","1,693.80","1,660.00",961.31K,-1.65%
01/15/2024,1,,,15,2024,15/1/2024,"1,694.80","1,725.00","1,727.10","1,685.00",687.29K,-0.93%
