"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2015","3.7504","3.7504","3.7510","3.7487","","-0.01%"
"06/16/2015","3.7506","3.7506","3.7517","3.7483","","0.01%"
"06/15/2015","3.7504","3.7503","3.7516","3.7482","","0.00%"
"06/14/2015","3.7503","3.7503","3.7516","3.7491","","0.00%"
"06/13/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"06/12/2015","3.7503","3.7495","3.7514","3.7485","","0.03%"
"06/11/2015","3.7492","3.7514","3.7527","3.7492","","-0.03%"
"06/10/2015","3.7504","3.7503","3.7517","3.7482","","0.00%"
"06/09/2015","3.7504","3.7503","3.7517","3.7487","","0.00%"
"06/08/2015","3.7504","3.7504","3.7517","3.7485","","0.00%"
"06/07/2015","3.7503","3.7501","3.7503","3.7491","","0.01%"
"06/06/2015","3.7500","3.7500","3.7500","3.7500","","0.00%"
"06/05/2015","3.7500","3.7505","3.7507","3.7495","","-0.01%"
"06/04/2015","3.7503","3.7504","3.7518","3.7485","","0.00%"
"06/03/2015","3.7503","3.7503","3.7516","3.7482","","0.00%"
"06/02/2015","3.7503","3.7503","3.7516","3.7493","","0.00%"
"06/01/2015","3.7503","3.7503","3.7516","3.7492","","0.00%"
"05/31/2015","3.7504","3.7517","3.7517","3.7492","","0.00%"
"05/30/2015","3.7504","3.7504","3.7504","3.7504","","0.00%"
"05/29/2015","3.7504","3.7504","3.7525","3.7501","","0.01%"
"05/28/2015","3.7501","3.7500","3.7516","3.7491","","0.00%"
"05/27/2015","3.7501","3.7503","3.7516","3.7493","","-0.01%"
"05/26/2015","3.7503","3.7503","3.7516","3.7485","","0.00%"
"05/25/2015","3.7503","3.7503","3.7503","3.7487","","0.00%"
"05/24/2015","3.7504","3.7504","3.7506","3.7492","","0.00%"
"05/23/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"05/22/2015","3.7504","3.7508","3.7511","3.7498","","0.00%"
"05/21/2015","3.7503","3.7504","3.7507","3.7491","","0.00%"
"05/20/2015","3.7503","3.7501","3.7503","3.7490","","0.01%"
"05/19/2015","3.7501","3.7502","3.7502","3.7491","","0.00%"
"05/18/2015","3.7502","3.7501","3.7504","3.7489","","0.00%"
"05/17/2015","3.7501","3.7501","3.7502","3.7491","","-0.01%"
"05/16/2015","3.7503","3.7503","3.7503","3.7503","","0.00%"
"05/15/2015","3.7502","3.7500","3.7504","3.7496","","0.00%"
"05/14/2015","3.7501","3.7500","3.7511","3.7491","","-0.01%"
"05/13/2015","3.7503","3.7504","3.7512","3.7491","","0.00%"
"05/12/2015","3.7503","3.7503","3.7504","3.7486","","0.00%"
"05/11/2015","3.7503","3.7509","3.7521","3.7496","","0.00%"
"05/10/2015","3.7502","3.7507","3.7508","3.7502","","0.01%"
"05/09/2015","3.7500","3.7500","3.7500","3.7500","","0.00%"
"05/08/2015","3.7501","3.7502","3.7504","3.7494","","0.00%"
"05/07/2015","3.7502","3.7503","3.7511","3.7486","","0.00%"
"05/06/2015","3.7503","3.7500","3.7511","3.7489","","0.01%"
"05/05/2015","3.7501","3.7498","3.7504","3.7489","","0.00%"
